                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4062,                0.85601,                0.87558,                0.88159,                0.48655,                0.58131,                0.36591,                 1.3906,                 1.7884,                0.57623,                0.00025,                0.00025,                0.00025
                      2,                 1.4861,                0.90905,                0.89845,                0.77988,                0.53525,                0.60119,                0.37073,                 1.4946,                 1.7991,                0.58097,             0.00042794,             0.00042794,             0.00042794
                      3,                  1.598,                 1.0846,                0.91437,                0.74695,                0.52006,                0.56369,                0.33717,                 1.4773,                 1.8196,                0.58358,             0.00051925,             0.00051925,             0.00051925
                      4,                 1.5432,                0.87793,                0.88914,                0.77477,                0.59007,                0.61576,                0.35401,                 1.5312,                 1.7733,                0.58781,             0.00052394,             0.00052394,             0.00052394
                      5,                 1.5512,                0.89787,                0.89497,                0.76379,                0.59687,                 0.6314,                0.36898,                 1.4515,                 1.6934,                0.58053,               0.000425,               0.000425,               0.000425
                      6,                 1.5017,                0.89182,                0.89257,                 0.8985,                0.50881,                0.61953,                0.39166,                 1.4212,                 1.6886,                 0.5809,               0.000425,               0.000425,               0.000425
