                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7492,                 1.2405,                0.94261,                 0.6029,                0.37041,                0.34597,                 0.1756,                 1.6786,                 1.2694,                0.91003,                0.00025,                0.00025,                0.00025
                      2,                 1.7445,                 1.1582,                0.94268,                0.73097,                0.45644,                0.48057,                0.28724,                 1.4664,                 1.1404,                0.88032,             0.00034338,             0.00034338,             0.00034338
                      3,                 1.7544,                 1.4643,                0.93947,                 0.7013,                0.47359,                0.51542,                0.31599,                 1.4405,                 1.0583,                0.87668,              0.0002635,              0.0002635,              0.0002635
